tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-life-stage,animal-taxon-detail,attachment-type,deployment-comments,deployment-end-type,deployment-id,duty-cycle,location-accuracy-comments,manipulation-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
91743,91743A,Larus fuscus,2009-05-25 00:00:00.000,2009-12-31 00:00:00.000,,adult,Larus fuscus fuscus,harness,,,91743-91743A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91742,91742A,Larus fuscus,2009-05-25 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91742-91742A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91765,91765A,Larus fuscus,2009-05-25 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91765-91765A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91761,91761A,Larus fuscus,2009-05-25 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91761-91761A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91764,91764A,Larus fuscus,2009-05-25 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91764-91764A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91734,91734A,Larus fuscus,2009-05-25 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91734-91734A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91739,91739A,Larus fuscus,2009-05-25 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91739-91739A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91759,91759A,Larus fuscus,2009-05-25 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91759-91759A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91738,91738A,Larus fuscus,2009-05-26 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91738-91738A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91762,91762A,Larus fuscus,2009-05-26 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91762-91762A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91781,91781A,Larus fuscus,2009-05-27 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91781-91781A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91751,91751A,Larus fuscus,2009-05-27 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91751-91751A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91755,91755A,Larus fuscus,2009-05-27 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91755-91755A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91735,91735A,Larus fuscus,2009-05-27 00:00:00.000,2009-12-31 00:00:00.000,local dead,adult,Larus fuscus fuscus,harness,,dead,91735-91735A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91741,91741A,Larus fuscus,2009-05-27 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91741-91741A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91758,91758A,Larus fuscus,2009-05-27 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91758-91758A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91779,91779A,Larus fuscus,2009-05-27 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91779-91779A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
91732,91732A,Larus fuscus,2009-05-27 00:00:00.000,,,adult,Larus fuscus fuscus,harness,,,91732-91732A,6 GPS fixes per day (if battery power permitted),GPS accuracy ca. 30 m,not translocated; control,none,Finland,Microwave Telemetry Inc,30,PTT-100 Solar Argos/GPS PTT,satellite
